lp_field_name,lp_label,sfdc_object,sfdc_field_api,data_type,required,notes
property_type,"What is the type of the property?",Lead,Property_Type__c,Picklist (Residential/Commercial),Yes,"Radio: Residential / Commercial. Drives persona and some routing."
surfaces,"What are the surfaces to be addressed?",Lead,Surface_Tags__c,Multi-select Picklist,Yes,"Stores all selected surfaces as ';'-separated values e.g. 'Deck;Fence;Hardscape'."
surface_deck,"Deck (surface option)",Lead,Surface_Deck__c,Checkbox,No,"Optional boolean field if Ankush wants per-surface checkboxes in SFDC; otherwise infer from Surface_Tags__c."
surface_railing,"Railing (surface option)",Lead,Surface_Railing__c,Checkbox,No,"Same pattern as above."
surface_siding,"Siding (surface option)",Lead,Surface_Siding__c,Checkbox,No,"Same pattern as above."
surface_fence_gate,"Fence / Gate (surface option)",Lead,Surface_Fence_Gate__c,Checkbox,No,"Same pattern as above."
surface_staircase,"Staircase (surface option)",Lead,Surface_Staircase__c,Checkbox,No,"Same pattern as above."
surface_furniture,"Patio Furniture (surface option)",Lead,Surface_Furniture__c,Checkbox,No,"Same pattern as above."
surface_trellis_arbor,"Trellis / Arbor (surface option)",Lead,Surface_Trellis_Arbor__c,Checkbox,No,"Same pattern as above."
surface_gazebo,"Gazebo (surface option)",Lead,Surface_Gazebo__c,Checkbox,No,"Same pattern as above."
surface_hardscape,"Hardscape (Pressure Washing) (surface option)",Lead,Surface_Hardscape__c,Checkbox,No,"Same pattern as above."
surface_other_text,"Other (free text surface)",Lead,Surface_Other__c,Text(255),No,"Optional free text if 'Other' selected."
timing,"When are you planning to start?",Lead,Timing_Window__c,Picklist (ASAP/1mo/3mo/Exploring),Yes,"ASAP / Within 1 month / Within 3 months / Just exploring options."
project_description,"Describe your project",Lead,Project_Description__c,Long Text Area,No,"Optional narrative, useful for estimators."
first_name,"First Name",Lead,FirstName,Text(40),Yes,"Standard SFDC field."
last_name,"Last Name",Lead,LastName,Text(80),Yes,"Standard SFDC field."
email,"Email",Lead,Email,Email,Yes,"Standard SFDC field."
phone,"Phone",Lead,Phone,Phone,Yes,"Standard SFDC field (required in form)."
street,"Street Address",Lead,Street,Text(255),No,"Street from LP form."
city,"City",Lead,City,Text(40),No,"City from LP form."
state,"State",Lead,State,Text(20),No,"State/Province."
postal_code,"ZIP / Postal Code",Lead,PostalCode,Text(20),No,"ZIP used for territory/Fringe logic."
country,"Country",Lead,Country,Text(40),No,"Default United States unless changed."
lp_slug,"Landing Page Slug",Lead,Landing_Page__c,Text(100),Yes,"e.g. 'deck-bay-area-residential'. Used for campaign/keyword grouping."
gclid,"Google Click ID (gclid)",Lead,GCLID__c,Text(255),No,"Captured via hidden field for Google Ads offline conversion imports."
utm_source,"utm_source",Lead,UTM_Source__c,Text(100),No,"Should usually be 'google'."
utm_medium,"utm_medium",Lead,UTM_Medium__c,Text(100),No,"Should usually be 'cpc'."
utm_campaign,"utm_campaign",Lead,UTM_Campaign__c,Text(255),No,"Matches Google Ads campaign naming."
utm_content,"utm_content",Lead,UTM_Content__c,Text(255),No,"Ad/creative variant; important for RSA testing."
utm_term,"utm_term",Lead,UTM_Term__c,Text(255),No,"Keyword or close variant term."
ga_session_id,"GA Session ID",Lead,GA_Session_ID__c,Text(255),No,"If Attributer.io or GA4 sends a session identifier."
google_ads_campaign,"Google Ads Campaign Name",Lead,Google_Ads_Campaign__c,Text(255),No,"Optional: direct pass-through of campaign name."
google_ads_adgroup,"Google Ads Ad Group Name",Lead,Google_Ads_AdGroup__c,Text(255),No,"Optional: direct pass-through of ad group name."
google_ads_keyword,"Google Ads Keyword (Matched)",Lead,Google_Ads_Keyword__c,Text(255),No,"Matched keyword string."
device,"Device",Lead,Device__c,Picklist (Desktop/Mobile/Tablet),No,"From Google Ads or GA4; useful for reporting."
primary_service,"Derived Primary Service",Lead,Primary_Service__c,Picklist,No,"POPULATED BY FLOW: uses Siding/Deck/Structures/Furniture/Pressure rule engine, not form directly."
lead_source,"Lead Source (Channel)",Lead,LeadSource,Picklist,Yes,"e.g. 'Paid Search'. High-level SFDC standard field."
lead_source_detail,"Lead Source Detail",Lead,Lead_Source_Detail__c,Text(255),No,"e.g. 'Google Ads – Deck – Bay Area – Residential'."
territory,"Territory (Bay Area / Fringe)",Lead,Territory__c,Picklist,No,"POPULATED BY ZIP MATCH in flow: Bay Area vs Fringe vs Other."
is_fringe,"Is Fringe Flag",Lead,Is_Fringe__c,Checkbox,No,"TRUE when ZIP is in Fringe list. Helps for routing/minimums."
commercial_flag,"Is Commercial",Lead,Is_Commercial__c,Checkbox,No,"TRUE when property_type = Commercial."
residential_flag,"Is Residential",Lead,Is_Residential__c,Checkbox,No,"TRUE when property_type = Residential."
campaign_cohort,"Google Ads Cohort Tag",Lead,Campaign_Cohort__c,Text(100),No,"e.g. 'GA_BA_SERVICES_PHASE3_2026Q1'. Useful for time-bound analysis."
notes_internal,"Internal Notes (CSR/Estimator)",Lead,Internal_Notes__c,Long Text Area,No,"Manual notes from phone calls / follow-ups."
